,주소,건물명,건축년도,면적,계약월,건물용도,구,CPI,전년도동월 대비 CPI 등락률,전세수급-서울-6개월 전,매매수급-서울-6개월 전,주택담보대출 (연리%)-6개월 전,전세자금대출 (연리%)-6개월 전,미래 전세가 예측값,미래 매매가 예측값,월별평균 전세가,월별평균 매매가
32661,강남구 대치동 890-59,선릉역 롯데골드로즈2,2004.0,44,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,27959.668,36378.473,28166.0,40991.0
32752,강남구 대치동 891-26,대우아이빌멤버스(891-26),2003.0,26,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,17050.443,22952.78,18573.0,19670.0
32908,강남구 대치동 891-26,대우아이빌멤버스(891-26),2003.0,31,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,18370.95,25680.617,21283.0,31475.0
33064,강남구 대치동 891-26,대우아이빌멤버스(891-26),2003.0,35,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,20329.086,27778.35,25224.0,29233.0
33155,강남구 대치동 891-26,대우아이빌멤버스(891-26),2003.0,36,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,22367.887,29400.459,25080.0,30000.0
33246,강남구 대치동 891-26,대우아이빌멤버스(891-26),2003.0,37,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,22316.58,29400.459,23634.0,36602.0
33337,강남구 대치동 891-26,대우아이빌멤버스(891-26),2003.0,41,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,24430.84,33144.848,32152.0,50409.0
33473,강남구 대치동 891-26,대우아이빌멤버스(891-26),2003.0,43,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,25113.031,34355.98,27885.0,43891.0
33963,강남구 대치동 891-6,테헤란로대우아이빌(891-6),2004.0,29,2025-08,아파트,강남구,113,2.1,55.3,60.6,5.3,5,21788.637,29798.74,22265.0,28214.0
34054,강남구 대치동 891-6,테헤란로대우아이빌(891-6),2004.0,30,2025-08,아파트,강남구,113,2.1,55.3,60.6,5.3,5,22112.396,31414.486,28094.0,33054.0
34232,강남구 대치동 891-6,테헤란로대우아이빌(891-6),2004.0,32,2025-08,아파트,강남구,113,2.1,55.3,60.6,5.3,5,22634.693,32301.48,25212.0,33012.0
35189,강남구 대치동 894-0,현대썬앤빌테헤란,2016.0,33,2025-08,아파트,강남구,113,2.1,55.3,60.6,5.3,5,38925.68,49043.812,40317.0,59897.0
35257,강남구 대치동 894-0,현대썬앤빌테헤란,2016.0,36,2025-08,아파트,강남구,113,2.1,55.3,60.6,5.3,5,40592.598,55219.105,45000.0,55212.0
50032,강남구 도곡동 467-18,우성캐릭터-빌,1998.0,33,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,17603.283,25022.096,21161.0,29939.0
51211,강남구 도곡동 467-24,우성캐릭터 199,1998.0,35,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,19586.71,26977.496,22175.0,31500.0
51299,강남구 도곡동 467-24,우성캐릭터 199,1998.0,37,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,21248.002,28591.322,23360.0,28802.0
51390,강남구 도곡동 467-24,우성캐릭터 199,1998.0,39,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,22591.93,29704.64,22670.0,32150.0
51480,강남구 도곡동 467-24,우성캐릭터 199,1998.0,40,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,73062.125,31121.982,95073.0,27984.0
51645,강남구 도곡동 467-24,우성캐릭터 199,1998.0,43,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,25485.197,31511.213,30101.0,30759.0
58903,강남구 도곡동 952-0,대우디오빌,2004.0,23,2025-08,아파트,강남구,113,2.1,55.3,60.6,5.3,5,17315.734,22666.5,21328.0,24039.0
58994,강남구 도곡동 952-0,대우디오빌,2004.0,26,2025-08,아파트,강남구,113,2.1,55.3,60.6,5.3,5,19368.223,27000.895,20000.0,26703.0
59085,강남구 도곡동 952-0,대우디오빌,2004.0,32,2025-08,아파트,강남구,113,2.1,55.3,60.6,5.3,5,21890.348,29547.56,25198.0,28800.0
59417,강남구 도곡동 952-14,원팰리스,2003.0,89,2025-08,아파트,강남구,113,2.1,55.3,60.6,5.3,5,53645.55,61921.824,60794.0,51293.0
68490,강남구 삼성동 110-2,삼성동라테라스,2013.0,113,2025-08,아파트,강남구,113,2.1,55.3,60.6,5.3,5,152814.11,213330.16,179908.0,233591.0
68573,강남구 삼성동 110-2,삼성동라테라스,2013.0,201,2025-08,아파트,강남구,113,2.1,55.3,60.6,5.3,5,370661.9,420840.62,439981.0,420580.0
74618,강남구 삼성동 144-1,삼성동 현대위버포레 오피스텔,2022.0,21,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,27996.094,39819.133,28094.0,32584.0
83145,강남구 삼성동 47-20,상아빌라트,1998.0,194,2025-08,아파트,강남구,113,2.1,55.3,60.6,5.3,5,112095.45,135106.5,118607.0,124700.0
92975,강남구 세곡동 582-0,강남레체,2016.0,29,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,20642.684,27371.643,21000.0,20696.0
93225,강남구 세곡동 583-0,천석빌딩,2016.0,46,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,27375.672,38484.27,27752.0,34432.0
93335,강남구 세곡동 584-0,센트라빌,2017.0,44,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,30900.85,38434.57,31087.0,38582.0
93361,강남구 세곡동 584-0,센트라빌,2017.0,45,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,30924.412,38922.69,31246.0,42645.0
93495,강남구 세곡동 587-0,강남 지웰파인즈,2016.0,23,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,16450.963,20098.65,16555.0,18450.0
93571,강남구 세곡동 587-0,강남 지웰파인즈,2016.0,25,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,17347.742,21140.38,19146.0,21965.0
93890,강남구 세곡동 616-0,강남 드림하이 오피스텔,2018.0,27,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,23668.834,30968.643,23805.0,17936.0
96230,강남구 수서동 725-1,목화오피스텔,1997.0,35,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,13264.227,18607.42,13518.0,17100.0
111767,강남구 역삼동 603-7,신논현 마에스트로,2013.0,19,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,15256.51,20312.227,18143.0,18704.0
111858,강남구 역삼동 603-7,신논현 마에스트로,2013.0,20,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,15332.248,20415.117,18500.0,19663.0
111940,강남구 역삼동 603-7,신논현 마에스트로,2013.0,21,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,15505.02,20942.02,19064.0,19398.0
112225,강남구 역삼동 605-17,강남 헤븐리치 더써밋 761,2021.0,15,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,21786.639,27861.451,22000.0,29109.0
112246,강남구 역삼동 606-0,역삼 노블루체 언주,2021.0,14,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,22128.238,29977.912,26206.0,33274.0
112263,강남구 역삼동 606-0,역삼 노블루체 언주,2021.0,19,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,24930.8,34302.254,28583.0,50183.0
112354,강남구 역삼동 606-18,현대휴먼터치빌,1999.0,26,2025-08,아파트,강남구,113,2.1,55.3,60.6,5.3,5,18755.36,23256.236,19064.0,24068.0
112445,강남구 역삼동 606-18,현대휴먼터치빌,1999.0,36,2025-08,아파트,강남구,113,2.1,55.3,60.6,5.3,5,23740.432,31961.105,24190.0,30460.0
112903,강남구 역삼동 628-1,한양럭스,2003.0,57,2025-08,아파트,강남구,113,2.1,55.3,60.6,5.3,5,33670.656,47474.992,34622.0,32724.0
114127,강남구 역삼동 647-5,(647-5),2020.0,19,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,21266.338,26674.486,24288.0,32653.0
114137,강남구 역삼동 647-5,(647-5),2020.0,27,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,29842.244,36950.703,39915.0,46162.0
114335,강남구 역삼동 656-31,역삼엔스위트102동,2005.0,90,2025-08,아파트,강남구,113,2.1,55.3,60.6,5.3,5,51526.043,71969.29,60329.0,80099.0
114495,강남구 역삼동 656-32,역삼동그린비,2004.0,86,2025-08,아파트,강남구,113,2.1,55.3,60.6,5.3,5,42864.766,54946.754,52779.0,74783.0
115206,강남구 역삼동 677-4,(677-4),2012.0,18,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,13878.692,16802.549,15976.0,13134.0
115295,강남구 역삼동 677-4,(677-4),2012.0,29,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,19531.727,23338.576,21365.0,25958.0
116591,강남구 역삼동 701-1,역삼아르누보씨티,2008.0,28,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,20205.424,28598.482,20313.0,23661.0
116666,강남구 역삼동 703-0,리에바움 오피스텔,2020.0,28,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,33818.438,43839.07,34392.0,48493.0
116775,강남구 역삼동 706-10,우림루미아트2,2003.0,24,2025-08,아파트,강남구,113,2.1,55.3,60.6,5.3,5,17681.373,24029.947,18060.0,20178.0
116932,강남구 역삼동 706-12,좋은사람좋은집,2015.0,20,2025-08,아파트,강남구,113,2.1,55.3,60.6,5.3,5,18507.07,25608.088,19367.0,32846.0
117668,강남구 역삼동 706-24,진넥스빌2,2003.0,24,2025-08,아파트,강남구,113,2.1,55.3,60.6,5.3,5,17903.375,24208.545,18480.0,22337.0
117759,강남구 역삼동 706-24,진넥스빌2,2003.0,29,2025-08,아파트,강남구,113,2.1,55.3,60.6,5.3,5,20978.635,28509.506,23466.0,28847.0
117941,강남구 역삼동 707-15,우정에쉐르3,2004.0,40,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,27982.416,36763.15,32750.0,60365.0
118851,강남구 역삼동 708-16,능현오피스텔,2004.0,30,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,19686.22,25494.86,20452.0,23237.0
119274,강남구 역삼동 708-26,에스케이허브 오피스텔,2004.0,28,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,19234.979,24520.246,19278.0,27900.0
119279,강남구 역삼동 708-26,에스케이허브 오피스텔,2004.0,29,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,19246.662,24605.523,21167.0,28079.0
119370,강남구 역삼동 708-26,에스케이허브 오피스텔,2004.0,37,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,24480.637,31712.451,25617.0,38108.0
119461,강남구 역삼동 708-26,에스케이허브 오피스텔,2004.0,38,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,25056.004,33055.332,25606.0,38680.0
121041,강남구 역삼동 712-5,역삼센트럴2차아이파크,2022.0,20,2025-08,아파트,강남구,113,2.1,55.3,60.6,5.3,5,18219.92,21273.97,29053.0,52500.0
122647,강남구 역삼동 718-27,빌딩-에벤에셀,2003.0,27,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,16347.765,20103.656,17811.0,18256.0
122748,강남구 역삼동 719-24,역삼역센트럴푸르지오시티,2019.0,18,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,19582.34,26354.832,19799.0,21801.0
122828,강남구 역삼동 719-24,역삼역센트럴푸르지오시티,2019.0,32,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,36565.867,48101.45,39031.0,45781.0
122864,강남구 역삼동 719-24,역삼역센트럴푸르지오시티,2019.0,39,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,39880.32,56788.92,44349.0,55414.0
122955,강남구 역삼동 720-22,amco square 720,2011.0,29,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,19455.664,25020.188,20900.0,23601.0
123137,강남구 역삼동 720-22,amco square 720,2011.0,32,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,20845.973,28062.91,21132.0,24545.0
123319,강남구 역삼동 720-25,대우디오빌,2002.0,30,2025-08,아파트,강남구,113,2.1,55.3,60.6,5.3,5,22683.508,31225.9,29000.0,30764.0
124191,강남구 역삼동 723-16,프리빌리지,2017.0,27,2025-08,아파트,강남구,113,2.1,55.3,60.6,5.3,5,33604.652,46290.883,38000.0,46390.0
124321,강남구 역삼동 723-16,프리빌리지,2017.0,33,2025-08,아파트,강남구,113,2.1,55.3,60.6,5.3,5,39695.977,51907.13,41098.0,57306.0
124670,강남구 역삼동 727-11,프리마빌,2003.0,92,2025-08,아파트,강남구,113,2.1,55.3,60.6,5.3,5,52365.78,62524.273,56598.0,59499.0
124928,강남구 역삼동 727-2,대명벨리온,2012.0,14,2025-08,아파트,강남구,113,2.1,55.3,60.6,5.3,5,16056.9375,22798.14,16817.0,19166.0
124994,강남구 역삼동 727-2,대명벨리온,2012.0,18,2025-08,아파트,강남구,113,2.1,55.3,60.6,5.3,5,16578.781,21171.36,20414.0,17788.0
125231,강남구 역삼동 727-9,요진와이시티미니,2012.0,12,2025-08,아파트,강남구,113,2.1,55.3,60.6,5.3,5,15755.621,21719.305,16156.0,18068.0
125322,강남구 역삼동 727-9,요진와이시티미니,2012.0,13,2025-08,아파트,강남구,113,2.1,55.3,60.6,5.3,5,15798.691,21728.021,16860.0,17216.0
126175,강남구 역삼동 735-11,신일유토빌,2003.0,33,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,16894.305,20719.885,17131.0,20194.0
126516,강남구 역삼동 735-15,이스턴오피스텔,2014.0,15,2025-08,아파트,강남구,113,2.1,55.3,60.6,5.3,5,15192.363,18712.139,18773.0,18214.0
126583,강남구 역삼동 735-15,이스턴오피스텔,2014.0,20,2025-08,아파트,강남구,113,2.1,55.3,60.6,5.3,5,16187.875,17814.654,16785.0,19396.0
126729,강남구 역삼동 735-17,역삼 푸르지오 시티,2016.0,24,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,19844.664,23860.652,19951.0,23850.0
126814,강남구 역삼동 735-17,역삼 푸르지오 시티,2016.0,32,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,28997.492,35437.863,30230.0,36085.0
126981,강남구 역삼동 736-22,메이플라워멤버스빌오피스텔,2006.0,20,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,13382.364,15020.806,14615.0,14065.0
127119,강남구 역삼동 736-24,엘지역삼에클라트,2004.0,28,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,17193.889,19195.332,19805.0,20814.0
127210,강남구 역삼동 736-24,엘지역삼에클라트,2004.0,29,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,17171.496,19280.61,19933.0,19727.0
127301,강남구 역삼동 736-24,엘지역삼에클라트,2004.0,36,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,22181.32,25507.186,24400.0,25359.0
127537,강남구 역삼동 741-22,포스틸빌라트,2004.0,62,2025-08,아파트,강남구,113,2.1,55.3,60.6,5.3,5,34441.277,44960.383,44165.0,39226.0
128385,강남구 역삼동 747-1,조이너스,2006.0,85,2025-08,아파트,강남구,113,2.1,55.3,60.6,5.3,5,59472.59,82958.84,61533.0,69384.0
130853,강남구 역삼동 761-3,상지리츠빌역삼2차,2006.0,165,2025-08,아파트,강남구,113,2.1,55.3,60.6,5.3,5,117037.21,159107.9,125960.0,144893.0
132582,강남구 역삼동 769-1,삼환 아르누보,2003.0,24,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,17327.508,23639.703,18032.0,22684.0
132746,강남구 역삼동 769-1,삼환 아르누보,2003.0,26,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,18572.566,25145.195,18642.0,19870.0
133511,강남구 역삼동 775-15,현대하이츠,2004.0,112,2025-08,아파트,강남구,113,2.1,55.3,60.6,5.3,5,64555.434,84306.12,73330.0,98525.0
135423,강남구 역삼동 787-7,역삼 이스타빌,2011.0,40,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,26043.357,33059.07,26064.0,33623.0
137816,강남구 역삼동 822-7,목화밀라트,2004.0,31,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,19539.334,24728.81,25198.0,31272.0
137998,강남구 역삼동 823-26,강남역두산위브센티움,2004.0,27,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,17800.438,21214.72,18962.0,20272.0
138161,강남구 역삼동 823-26,강남역두산위브센티움,2004.0,30,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,18959.576,23706.514,21161.0,20811.0
138248,강남구 역삼동 823-26,강남역두산위브센티움,2004.0,31,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,19362.242,24565.26,22344.0,22576.0
138415,강남구 역삼동 823-3,크레신 타워Ⅱ,2004.0,39,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,24220.635,30200.824,26399.0,29450.0
138617,강남구 역삼동 823-7,강남역우정에쉐르,2004.0,17,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,13824.986,17104.25,14229.0,17110.0
138687,강남구 역삼동 823-7,강남역우정에쉐르,2004.0,27,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,18163.787,21429.834,22708.0,34301.0
139045,강남구 역삼동 824-12,메가시티오피스텔,2002.0,38,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,20255.502,28244.523,22849.0,24783.0
139531,강남구 역삼동 824-49,강남역투웨니퍼스트102동,2019.0,17,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,19996.72,27847.23,21071.0,26856.0
139575,강남구 역삼동 824-9,강남역투웨니퍼스트101동,2019.0,17,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,19995.166,27823.117,21280.0,21751.0
139666,강남구 역삼동 825-20,강남역 센트럴 푸르지오 시티,2015.0,21,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,19397.59,26009.732,22500.0,27550.0
139757,강남구 역삼동 825-20,강남역 센트럴 푸르지오 시티,2015.0,22,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,20001.963,27034.47,24443.0,32150.0
139848,강남구 역삼동 825-20,강남역 센트럴 푸르지오 시티,2015.0,23,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,21439.484,27413.865,24532.0,31117.0
139939,강남구 역삼동 825-20,강남역 센트럴 푸르지오 시티,2015.0,25,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,22458.451,28326.22,27000.0,33000.0
140030,강남구 역삼동 825-20,강남역 센트럴 푸르지오 시티,2015.0,26,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,23945.004,30461.541,26557.0,29262.0
140157,강남구 역삼동 825-24,강남역 효성해링턴 타워 더퍼스트,2014.0,22,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,18064.69,23490.604,20436.0,23649.0
140248,강남구 역삼동 825-24,강남역 효성해링턴 타워 더퍼스트,2014.0,23,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,19454.568,24116.1,23580.0,26122.0
140339,강남구 역삼동 825-24,강남역 효성해링턴 타워 더퍼스트,2014.0,25,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,20261.01,24481.705,25000.0,24764.0
140430,강남구 역삼동 825-24,강남역 효성해링턴 타워 더퍼스트,2014.0,26,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,21360.547,26779.607,25285.0,28793.0
141274,강남구 역삼동 828-21,(828-21),2005.0,90,2025-08,아파트,강남구,113,2.1,55.3,60.6,5.3,5,51964.363,67864.82,58853.0,73016.0
141941,강남구 역삼동 831-29,에레프,2013.0,14,2025-08,아파트,강남구,113,2.1,55.3,60.6,5.3,5,14876.903,20957.268,15605.0,21842.0
142301,강남구 역삼동 831-40,역삼SK허브블루,2004.0,35,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,20696.545,26697.66,22977.0,23945.0
142411,강남구 역삼동 831-45,에스케이허브젠,2005.0,54,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,34093.457,47978.64,45822.0,66230.0
142834,강남구 역삼동 832-16,BIEL 106,2018.0,21,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,20536.418,27578.281,24700.0,28389.0
142917,강남구 역삼동 832-16,BIEL 106,2018.0,30,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,31363.094,43114.516,32805.0,49797.0
143361,강남구 역삼동 832-3,강남역 쉐르빌,2014.0,19,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,16518.043,21266.914,18562.0,20721.0
143452,강남구 역삼동 832-3,강남역 쉐르빌,2014.0,23,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,19153.371,23993.54,23000.0,24764.0
143543,강남구 역삼동 832-3,강남역 쉐르빌,2014.0,25,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,19959.812,24359.148,25084.0,26008.0
143634,강남구 역삼동 832-3,강남역 쉐르빌,2014.0,26,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,21059.35,26657.05,22000.0,25117.0
143725,강남구 역삼동 832-3,강남역 쉐르빌,2014.0,28,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,22844.152,28443.727,24667.0,26801.0
143998,강남구 역삼동 832-33,성우스타우스오피스텔,2004.0,34,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,20422.686,26441.54,23361.0,24569.0
144493,강남구 역삼동 832-5,역삼디오슈페리움,2006.0,48,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,33220.81,44956.645,43673.0,47884.0
145795,강남구 역삼동 836-0,한스빌(836),1996.0,32,2025-08,아파트,강남구,113,2.1,55.3,60.6,5.3,5,19603.613,27867.113,27930.0,21831.0
146200,강남구 역삼동 837-13,강남역 와이즈 플레이스,2013.0,24,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,18344.568,20286.547,20000.0,22605.0
146291,강남구 역삼동 837-13,강남역 와이즈 플레이스,2013.0,27,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,19629.232,22950.055,24150.0,19825.0
146382,강남구 역삼동 837-18,강남역 서희스타힐스 오피스텔,2012.0,23,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,16519.174,18708.8,16755.0,17977.0
146473,강남구 역삼동 837-18,강남역 서희스타힐스 오피스텔,2012.0,24,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,16821.273,18787.36,17937.0,17858.0
146564,강남구 역삼동 837-18,강남역 서희스타힐스 오피스텔,2012.0,25,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,16859.754,19105.258,18143.0,17679.0
146649,강남구 역삼동 837-18,강남역 서희스타힐스 오피스텔,2012.0,26,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,18231.207,21212.227,19064.0,21838.0
147007,강남구 역삼동 837-18,강남역 서희스타힐스 오피스텔,2012.0,30,2025-08,오피스텔,강남구,113,2.1,55.3,60.6,5.3,5,20178.965,23972.377,23688.0,23802.0
